roll_date,crossover_date,from_symbol,to_symbol,from_instrument_id,to_instrument_id
2024-08-16,2024-08-15,CLU4,CLV4,585200,392826
2024-09-19,2024-09-18,CLV4,CLX4,392826,230943
2024-10-21,2024-10-18,CLX4,CLZ4,230943,258644
2024-11-19,2024-11-18,CLZ4,CLF5,258644,38601
2024-12-18,2024-12-17,CLF5,CLG5,38601,615689
2025-01-17,2025-01-16,CLG5,CLH5,615689,37014
2025-02-18,2025-02-17,CLH5,CLJ5,37014,625061
2025-03-18,2025-03-17,CLJ5,CLK5,625061,423318
2025-04-17,2025-04-16,CLK5,CLM5,423318,134373
2025-05-19,2025-05-16,CLM5,CLN5,134373,402185
2025-06-17,2025-06-16,CLN5,CLQ5,402185,209884
2025-07-21,2025-07-18,CLQ5,CLU5,209884,48059
2025-08-19,2025-08-18,CLU5,CLV5,48059,655565
2025-09-19,2025-09-18,CLV5,CLX5,655565,432669
2025-10-17,2025-10-16,CLX5,CLZ5,432669,651434
2025-11-19,2025-11-18,CLZ5,CLF6,651434,240384
2025-12-17,2025-12-16,CLF6,CLG6,240384,383438
2026-01-16,2026-01-15,CLG6,CLH6,383438,191166
2026-02-18,2026-02-17,CLH6,CLJ6,191166,768197
2026-03-18,2026-03-17,CLJ6,CLK6,768197,169926
2026-04-17,2026-04-16,CLK6,CLM6,169926,670557
2026-05-18,2026-05-15,CLM6,CLN6,670557,777566
2026-06-18,2026-06-17,CLN6,CLQ6,777566,362315
